"","chromosome","start","end","strand","intron motif","annotation","uniquely mapping reads","multi-mapping reads","max spliced alignment","experiment"
"1","2R",7361868,7363023,2,2,1,1989,0,28,"3962_1"
"2","2R",7361868,7363023,2,2,1,7179,1,28,"3962_2"
"3","2R",7361868,7363023,2,2,1,2253,0,28,"4024_1"
"4","2R",7361868,7363023,2,2,1,8146,0,28,"4049_1"
"5","2R",7361868,7363331,2,2,1,300,0,28,"3962_1"
"6","2R",7361868,7363331,2,2,1,1476,0,28,"3962_2"
"7","2R",7361868,7363331,2,2,1,498,0,28,"4024_1"
"8","2R",7361868,7363331,2,2,1,1703,0,28,"4049_1"
"9","2R",7361868,7363594,2,2,1,683,0,28,"3962_1"
"10","2R",7361868,7363594,2,2,1,1675,0,28,"3962_2"
"11","2R",7361868,7363594,2,2,1,648,0,28,"4024_1"
"12","2R",7361868,7363594,2,2,1,2339,3,28,"4049_1"
"13","2R",7361868,7363880,2,2,1,50,0,28,"3962_1"
"14","2R",7361868,7363880,2,2,1,196,0,28,"3962_2"
"15","2R",7361868,7363880,2,2,1,51,0,28,"4024_1"
"16","2R",7361868,7363880,2,2,1,201,0,28,"4049_1"
"17","2R",7361868,7364177,2,2,1,927,1,28,"3962_1"
"18","2R",7361868,7364177,2,2,1,3069,1,28,"3962_2"
"19","2R",7361868,7364177,2,2,1,1146,1,28,"4024_1"
"20","2R",7361868,7364177,2,2,1,3851,2,28,"4049_1"
"21","2R",7361868,7364455,2,2,1,755,0,28,"3962_1"
"22","2R",7361868,7364455,2,2,1,3066,0,28,"3962_2"
"23","2R",7361868,7364455,2,2,1,928,0,28,"4024_1"
"24","2R",7361868,7364455,2,2,1,3319,3,28,"4049_1"
"25","2R",7361868,7364731,2,2,1,190,0,28,"3962_1"
"26","2R",7361868,7364731,2,2,1,802,0,28,"3962_2"
"27","2R",7361868,7364731,2,2,1,274,0,28,"4024_1"
"28","2R",7361868,7364731,2,2,1,910,0,28,"4049_1"
"29","2R",7361868,7365017,2,2,1,226,0,28,"3962_1"
"30","2R",7361868,7365017,2,2,1,1129,0,28,"3962_2"
"31","2R",7361868,7365017,2,2,1,338,0,28,"4024_1"
"32","2R",7361868,7365017,2,2,1,1330,0,28,"4049_1"
"33","2R",7361868,7365311,2,2,1,277,0,28,"3962_1"
"34","2R",7361868,7365311,2,2,1,1030,0,28,"3962_2"
"35","2R",7361868,7365311,2,2,1,299,0,28,"4024_1"
"36","2R",7361868,7365311,2,2,1,1260,0,28,"4049_1"
"37","2R",7361868,7365942,2,2,1,198,0,28,"3962_1"
"38","2R",7361868,7365942,2,2,1,546,0,28,"3962_2"
"39","2R",7361868,7365942,2,2,1,204,0,28,"4024_1"
"40","2R",7361868,7365942,2,2,1,705,0,28,"4049_1"
"41","2R",7361868,7366465,2,2,1,24,0,28,"3962_1"
"42","2R",7361868,7366465,2,2,1,237,0,28,"3962_2"
"43","2R",7361868,7366465,2,2,1,75,0,28,"4024_1"
"44","2R",7361868,7366465,2,2,1,251,0,28,"4049_1"
"45","2R",7361868,7366804,2,2,1,196,0,28,"3962_1"
"46","2R",7361868,7366804,2,2,1,470,0,28,"3962_2"
"47","2R",7361868,7366804,2,2,1,220,0,28,"4024_1"
"48","2R",7361868,7366804,2,2,1,678,0,28,"4049_1"
